Link, Associated  Text 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-hardwood-granite/6283061614.html	,".::NO  FEE::.  Hardwood,  Granite,  Stainless,  Central  Air,  Fitness  Center" 
 https://boston.craigslist.org/gbs/fee/d/luxurious-midtown-1br-all-of/6295435931.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/luxurious-midtown-1br-all-of/6295435931.html	,"Luxurious  Midtown  1br  w/  All  Of  The  Modern  Upgrades  You're  Looking  For" 
 https://boston.craigslist.org/gbs/fee/d/3-bedroom-porter-sq-pets-ok/6317215131.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/3-bedroom-porter-sq-pets-ok/6317215131.html	,"3  BEDROOM/PORTER  SQ/PETS  OK/DELEADED/REDLINE" 
 https://boston.craigslist.org/gbs/fee/d/2-bd-on-prince-st/6278832949.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/2-bd-on-prince-st/6278832949.html	,"2  Bd  on  Prince  St.,  Professional  Lobby  and  Common  Area,  Dishwasher" 
 https://boston.craigslist.org/gbs/nfb/d/amazing-1-bd-1-bath-no-fee/6317215031.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/amazing-1-bd-1-bath-no-fee/6317215031.html	,"AMAZING  1  Bd,  1  Bath,  NO  FEE,  Pet  Ok,  Granite  Counter  Tops" 
 https://boston.craigslist.org/gbs/fee/d/dishwasher-disposal-hardwood/6278886039.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/dishwasher-disposal-hardwood/6278886039.html	,"Dishwasher,  Disposal,  Hardwood,  Stainless,  Laundry,  Easy  MBTA  Access" 
 https://boston.craigslist.org/gbs/fee/d/location-location-location/6278867565.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/location-location-location/6278867565.html	,"LOCATION!  LOCATION!!  LOCATION!!!" 
 https://boston.craigslist.org/gbs/fee/d/tired-of-seeing-dumps-in/6283850148.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/tired-of-seeing-dumps-in/6283850148.html	,"Tired  Of  Seeing  Dumps  In  Fenway?  Click  Now!!!" 
 https://boston.craigslist.org/gbs/nfb/d/2-bd-2-bath-pet-ok-no-fee/6317210617.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/2-bd-2-bath-pet-ok-no-fee/6317210617.html	,"2  Bd,  2  Bath,  Pet  Ok,  NO  FEE,  Deck,  Balcony,  Dishwasher,  Elevator" 
 https://boston.craigslist.org/gbs/fee/d/tired-of-seeing-dumps-in/6278888587.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/tired-of-seeing-dumps-in/6278888587.html	,"Tired  Of  Seeing  Dumps  In  South  End?  CLICK!  CLICK!!  CLICK!!!" 
 https://boston.craigslist.org/gbs/fee/d/spacious-2-or-3/6317214476.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/spacious-2-or-3/6317214476.html	,"SPACIOUS  2+  OR  3  BEDROOM..MIT..HARVARD..RED  AND  GREEN  LINE..PARKING" 
 https://boston.craigslist.org/gbs/fee/d/super-clean-north-end-3br/6278784537.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/super-clean-north-end-3br/6278784537.html	,"Super  Clean  North  End  3br,  Dishwasher,  Hardwood,  Granite!" 
 https://boston.craigslist.org/gbs/fee/d/2-floors-hardwood-dishwasher/6278815538.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/2-floors-hardwood-dishwasher/6278815538.html	,"2-Floors,  Hardwood,  Dishwasher,  Stainless  Steel,  Near  Everything" 
 https://boston.craigslist.org/nos/abo/d/sunny-sweet-condo-on-historic/6287813697.html	,"None" 
 https://boston.craigslist.org/nos/abo/d/sunny-sweet-condo-on-historic/6287813697.html	,"Sunny,  sweet  condo  on  historic  High  Street" 
 https://boston.craigslist.org/gbs/fee/d/hardwood-fresh-paint/6303266710.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/hardwood-fresh-paint/6303266710.html	,"Hardwood,  Fresh  Paint,  Stainless  Steel  Appliances,  Parking  Included!" 
 https://boston.craigslist.org/gbs/nfb/d/92-walk-score-porter-sq-3-bed/6278860002.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/92-walk-score-porter-sq-3-bed/6278860002.html	,"92  Walk  Score!    Porter  Sq  3  Bed  on  top  Floor!  Cats  ok!    Avail    9/1" 
 https://boston.craigslist.org/gbs/fee/d/hardwood-dishwasher-laundry/6294647571.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/hardwood-dishwasher-laundry/6294647571.html	,"Hardwood,  Dishwasher,  Laundry  In  Unit,  Easy  MBTA  Access" 
